.chain,.iteration,.draw,1,2,value,type
1,1,1,2.02839,0.730615,4.68259913070837,Lognormal
1,2,2,1.96932,0.665315,15.2546967182657,Lognormal
1,3,3,1.88097,0.627804,4.7920279768761,Lognormal
1,4,4,2.11681,0.832965,2.95451955305111,Lognormal
1,5,5,1.73712,0.564959,12.6969682273917,Lognormal
1,6,6,1.93727,0.949643,13.4969128839748,Lognormal
1,7,7,1.95065,0.929731,1.54965024759799,Lognormal
1,8,8,2.04646,0.659789,7.13096977753137,Lognormal
1,9,9,1.94285,0.625006,6.48982957921035,Lognormal
1,10,10,1.93602,0.668266,6.13677451132982,Lognormal
1,11,11,1.75942,0.701207,6.16233476403366,Lognormal
1,12,12,1.76601,0.70377,4.64014944328749,Lognormal
1,13,13,1.68207,0.870322,23.1690010728015,Lognormal
1,14,14,1.88689,0.737205,8.48462637951938,Lognormal
1,15,15,1.85106,0.602278,10.4274538759753,Lognormal
1,16,16,1.95036,0.658693,17.155045510675,Lognormal
1,17,17,1.69644,0.952937,5.7884017332174,Lognormal
1,18,18,1.94347,0.501598,4.44764484459298,Lognormal
1,19,19,1.91687,0.532789,6.60780128450162,Lognormal
1,20,20,1.68508,0.651573,2.97810924385044,Lognormal
1,21,21,1.68508,0.651573,1.68923169731765,Lognormal
1,22,22,1.87194,0.723984,3.95474747875195,Lognormal
1,23,23,1.98552,0.662417,3.17198342732155,Lognormal
1,24,24,1.56053,0.622169,5.22961048658081,Lognormal
1,25,25,1.90355,0.76295,10.5952853724482,Lognormal
1,26,26,1.6851,0.830045,6.45533914494479,Lognormal
1,27,27,1.80434,0.697524,46.0181617094573,Lognormal
1,28,28,1.8195,0.642795,16.8952930821398,Lognormal
1,29,29,1.93175,0.546442,3.58686356136821,Lognormal
1,30,30,1.6212,0.66997,2.63827767768797,Lognormal
1,31,31,1.87886,0.593587,6.07606776598305,Lognormal
1,32,32,2.00454,0.711439,4.73919637916449,Lognormal
1,33,33,1.74654,0.652333,4.90715678108658,Lognormal
1,34,34,1.74939,0.882924,6.80683906005626,Lognormal
1,35,35,1.71122,0.716682,4.99892242959491,Lognormal
1,36,36,1.93144,0.710362,7.24411810520781,Lognormal
1,37,37,1.93937,0.637913,1.73938086720625,Lognormal
1,38,38,1.86563,0.668003,9.75934069380454,Lognormal
1,39,39,1.93491,0.789536,7.86974263159619,Lognormal
1,40,40,1.90279,0.603099,7.00983515137776,Lognormal
1,41,41,2.10099,0.679065,12.0038371186657,Lognormal
1,42,42,2.19225,0.62561,16.6272759005984,Lognormal
1,43,43,2.12837,0.548841,9.29075511398738,Lognormal
1,44,44,2.17475,0.718491,6.73465882431396,Lognormal
1,45,45,1.60947,0.678605,2.57006767758763,Lognormal
1,46,46,2.06044,0.607632,7.58250254987388,Lognormal
1,47,47,1.78049,0.786919,10.2237092958249,Lognormal
1,48,48,2.31767,1.07417,10.9732202236822,Lognormal
1,49,49,2.26572,1.03801,12.5404674526345,Lognormal
1,50,50,2.38389,0.861376,30.7640824906204,Lognormal
1,51,51,1.7971,0.752513,5.36427419290433,Lognormal
1,52,52,1.77125,0.889674,3.65988955014215,Lognormal
1,53,53,1.74979,0.763641,1.70458109760215,Lognormal
1,54,54,2.01174,0.609033,11.7564903197175,Lognormal
1,55,55,2.02342,0.603904,7.37233312614483,Lognormal
1,56,56,1.83915,0.727054,3.05264406648693,Lognormal
1,57,57,1.98541,0.681041,4.90274840905582,Lognormal
1,58,58,2.01209,0.834643,8.09866591651239,Lognormal
1,59,59,1.74055,0.674308,4.38574831397023,Lognormal
1,60,60,1.80701,0.591565,2.38451341159093,Lognormal
1,61,61,2.05445,0.866721,37.6284435815709,Lognormal
1,62,62,1.9867,0.888577,24.67293288231,Lognormal
1,63,63,1.66284,0.839416,2.16494254763931,Lognormal
1,64,64,1.56487,0.76579,2.53412013582685,Lognormal
1,65,65,1.62594,0.859066,3.92752198725542,Lognormal
1,66,66,1.55432,0.882091,18.5850119011854,Lognormal
1,67,67,1.63601,0.693105,11.8307548457046,Lognormal
1,68,68,1.90014,0.591291,3.75145717985375,Lognormal
1,69,69,1.95536,0.719939,3.62398446277614,Lognormal
1,70,70,1.78923,0.615031,12.6801223956219,Lognormal
1,71,71,1.92021,0.604418,10.736183098,Lognormal
1,72,72,2.01816,0.606813,7.44879230158494,Lognormal
1,73,73,2.00445,0.610773,4.70541312150913,Lognormal
1,74,74,1.78251,0.66188,5.7404380141359,Lognormal
1,75,75,1.774,0.645473,5.77397165730591,Lognormal
1,76,76,1.9383,0.533085,6.8874078305894,Lognormal
1,77,77,2.04766,0.653598,8.45633192519835,Lognormal
1,78,78,2.07378,0.632958,11.0782038868357,Lognormal
1,79,79,1.81673,0.736595,2.5474850234954,Lognormal
1,80,80,1.81606,0.743197,3.58016619163505,Lognormal
1,81,81,1.98722,0.578183,5.4574056315338,Lognormal
1,82,82,1.823,0.740506,1.95787953892722,Lognormal
1,83,83,1.84992,0.752703,0.79175627303307,Lognormal
1,84,84,1.96445,0.790061,6.41028695208079,Lognormal
1,85,85,1.92498,0.606484,7.51388214208467,Lognormal
1,86,86,1.94427,0.598996,4.22957744603895,Lognormal
1,87,87,2.21688,0.734453,37.6053440922233,Lognormal
1,88,88,2.10071,0.806285,41.5451615140745,Lognormal
1,89,89,1.86078,0.678866,2.71588714168021,Lognormal
1,90,90,1.88668,0.59988,6.61404242750262,Lognormal
1,91,91,1.74119,0.674247,5.48170363776248,Lognormal
1,92,92,1.77061,0.811356,12.0296487118439,Lognormal
1,93,93,1.88323,0.793031,23.7696858215979,Lognormal
1,94,94,2.03424,0.776986,7.10366453587111,Lognormal
1,95,95,2.14367,0.978448,3.59403018510467,Lognormal
1,96,96,2.07308,0.944649,4.88761787544241,Lognormal
1,97,97,1.99914,0.900014,13.2801300570383,Lognormal
1,98,98,2.03203,0.693138,12.5201603457412,Lognormal
1,99,99,1.70431,0.824842,0.931252437657421,Lognormal
1,100,100,1.65406,0.836058,1.52586380148167,Lognormal
1,101,101,2.09538,0.589641,8.57078520293638,Lognormal
1,102,102,2.09538,0.589641,8.42266536155086,Lognormal
1,103,103,1.86563,0.938287,30.761817188865,Lognormal
1,104,104,1.73552,0.814212,28.6021369367093,Lognormal
1,105,105,2.00677,0.628082,2.67801560834399,Lognormal
1,106,106,1.73536,0.851734,3.83277249821631,Lognormal
1,107,107,1.89648,0.898994,5.82980956368831,Lognormal
1,108,108,1.75401,0.537067,5.20909772583531,Lognormal
1,109,109,2.10183,0.595057,7.16943266786661,Lognormal
1,110,110,1.81082,0.633555,4.37679880046054,Lognormal
1,111,111,1.84503,0.824307,10.2746266340471,Lognormal
1,112,112,2.03488,1.05783,7.57850289597561,Lognormal
1,113,113,1.67534,0.49312,4.72597121326316,Lognormal
1,114,114,1.71819,0.656542,10.9985766630477,Lognormal
1,115,115,1.83131,0.805089,0.670669552118768,Lognormal
1,116,116,1.92665,0.742697,13.4345522283707,Lognormal
1,117,117,1.76027,0.655932,9.85072023969294,Lognormal
1,118,118,1.9803,0.733134,9.44334655089945,Lognormal
1,119,119,1.98397,0.748769,13.2863799884626,Lognormal
1,120,120,1.64689,0.625808,3.1080319594752,Lognormal
1,121,121,1.78176,0.952303,2.60447123564417,Lognormal
1,122,122,1.75158,0.622829,12.885031719333,Lognormal
1,123,123,1.79158,0.637767,6.19814562708416,Lognormal
1,124,124,1.75016,0.614145,7.63360487868921,Lognormal
1,125,125,2.2616,0.870654,12.0124261254982,Lognormal
1,126,126,2.02817,0.837904,2.47837443041452,Lognormal
1,127,127,2.24692,0.846546,22.5300582975158,Lognormal
1,128,128,1.76091,0.698856,1.73147672306637,Lognormal
1,129,129,2.23795,1.00784,3.65545992739367,Lognormal
1,130,130,1.81144,0.834409,12.1093393917417,Lognormal
1,131,131,1.79508,0.72654,5.86551130751721,Lognormal
1,132,132,1.63076,0.799696,3.01864387788089,Lognormal
1,133,133,1.5064,0.870776,5.60086214888482,Lognormal
1,134,134,1.73668,0.931227,1.97960230768583,Lognormal
1,135,135,1.94788,0.695673,17.8282909636292,Lognormal
1,136,136,1.82084,0.729065,8.9072720167798,Lognormal
1,137,137,2.05672,0.686743,5.34609445974853,Lognormal
1,138,138,1.85046,0.749851,10.649144203591,Lognormal
